SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Part #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Removes,Volume,Pressure Rating,Tube Material,Dimensions,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s)
30008,30008,,,,,,,,,,,GcLite™ 200 Hydrocarbon Gas Purifier,"• Removes Hydrocarbons
• Made from Clear Lexan®
• GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,Hydrocarbon,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",1,$75.00,"filter30008_sm.jpg, filter30008.jpg",Removes,Hydrocarbon,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,1,Similar to,
30008-5,30008-5,,,,,,,,,,,GcLite™ 200 Hydrocarbon Gas Purifier,"• Removes Hydrocarbons
• Made from Clear Lexan®
• GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,Hydrocarbon,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",5,$350.00,"filter30008_sm.jpg, filter30008.jpg",Removes,Hydrocarbon,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,5,Similar to,
30009,30009,,,,,,,,,,,GcLite™ 200 H2O Gas Purifier,"• Removes Moisture 
• Made from Clear Lexan®
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,H2O,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",1,$75.00,"filter30009_sm.jpg, filter30009.jpg",Removes,H2O,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,1,Similar to,
30009-5,30009-5,,,,,,,,,,,GcLite™ 200 H2O Gas Purifier,"• Removes Moisture 
• Made from Clear Lexan®
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,H2O,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",5,$350.00,"filter30009_sm.jpg, filter30009.jpg",Removes,H2O,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,5,Similar to,
30010,30010,,,,,,,,,,,GcLite™ 200 H2O Gas Purifier w/ Moisture Indicator,"• Moisture indicator changes color when saturated
• Removes Moisture
• Made from Clear Lexan®
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,H2O,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",1,$75.00,"filter30010_sm.jpg, filter30010.jpg",Removes,H2O,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,1,Similar to,
30010-5,30010-5,,,,,,,,,,,GcLite™ 200 H2O Gas Purifier w/ Moisture Indicator,"• Moisture indicator changes color when saturated
• Removes Moisture
• Made from Clear Lexan®
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 200cc Size: 2” OD x 10.25” L
• Pressure Rating: 100 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,H2O,200cc,100 PSI,Lexan,"2"" OD x 10.25"" L",5,$350.00,"filter30010_sm.jpg, filter30010.jpg",Removes,H2O,Volume,200cc,Pressure Rating,100 PSI,Tube Material,Lexan,Dimensions,"2"" OD x 10.25"" L",Qty/pk,5,Similar to,
30011,30011,,,,,,,,,,,GcLite™ 825 Hydrocarbon Large Purifier,"• Lexan® construction
• Removes hydrocarbons
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 825cc Size: 3.75” OD x 7.25” L
• Pressure Rating: 50 PSI
• Removes: HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,Hydrocarbon,825cc,50 PSI,Lexan,"3.75"" OD x 7.25"" L",1,$150.00,"filterlarge30011_sm.jpg, filterlarge30011.jpg",Removes,Hydrocarbon,Volume,825cc,Pressure Rating,50 PSI,Tube Material,Lexan,Dimensions,"3.75"" OD x 7.25"" L",Qty/pk,1,Similar to,
30011-5,30011-5,,,,,,,,,,,GcLite™ 825 Hydrocarbon Large Purifier,"• Lexan® construction
• Removes hydrocarbons
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 825cc Size: 3.75” OD x 7.25” L
• Pressure Rating: 50 PSI
• Removes: HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,Hydrocarbon,825cc,50 PSI,Lexan,"3.75"" OD x 7.25"" L",5,$700.00,"filterlarge30011_sm.jpg, filterlarge30011.jpg",Removes,Hydrocarbon,Volume,825cc,Pressure Rating,50 PSI,Tube Material,Lexan,Dimensions,"3.75"" OD x 7.25"" L",Qty/pk,5,Similar to,
30012,30012,,,,,,,,,,,GcLite™ 825 H2O Large Gas Purifier,"• Lexan® construction
• Removes moisture 
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 825cc Size: 3.75” OD x 7.25” L
• Pressure Rating: 50 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics",GC Purifiers,H2O,825cc,50 PSI,Lexan,"3.75"" OD x 7.25"" L",1,$150.00,"filterlarge30012_sm.jpg, filterlarge30012.jpg",Removes,H2O,Volume,825cc,Pressure Rating,50 PSI,Tube Material,Lexan,Dimensions,"3.75"" OD x 7.25"" L",Qty/pk,1,Similar to,
30012-5,30012-5,,,,,,,,,,,GcLite™ 825 H2O Large Gas Purifier,"""• Lexan® construction
• Removes moisture 
•GcLite™ Spherical high capacity materials
• 1/8” Brass Fitting
• Volume: 825cc Size: 3.75” OD x 7.25” L
• Pressure Rating: 50 PSI
• Removes: H2O, HCl, SO2, NO2, H2S, CO2, Oil, & Small Aliphatics
""",GC Purifiers,H2O,825cc,50 PSI,Lexan,"3.75"" OD x 7.25"" L",5,$700.00,"filterlarge30012_sm.jpg, filterlarge30012.jpg",Removes,H2O,Volume,825cc,Pressure Rating,50 PSI,Tube Material,Lexan,Dimensions,"3.75"" OD x 7.25"" L",Qty/pk,5,Similar to,
